episode,reward,icu_util,ot_util,waiting_time,patients_served
0,3973.916564058475,5.0,4.0,0.75,28
1,5807.924491687781,4.0,3.2,0.6,48
2,6265.8266790597445,5.0,4.0,0.75,48
3,5402.823287357842,4.0,3.2,0.6,48
4,6139.789011507711,5.0,4.0,0.75,48
5,5465.988638794807,5.0,4.0,0.75,48
6,5864.5847532228145,4.0,3.2,0.6,48
7,5765.55144235614,5.0,4.0,0.75,48
8,5555.707881643898,3.0,2.4,0.44999999999999996,48
9,5567.534771100301,3.0,2.4,0.44999999999999996,48
10,5743.519044489787,4.0,3.2,0.6,48
11,5989.230924150336,4.0,3.2,0.6,48
12,6003.201020569203,4.0,3.2,0.6,48
13,5880.906156070187,6.0,4.8,0.8999999999999999,48
14,5928.687769989276,3.0,2.4,0.44999999999999996,48
15,5723.339908034813,3.0,2.4,0.44999999999999996,48
16,6209.465833412319,4.0,3.2,0.6,48
17,5995.124033768721,5.0,4.0,0.75,48
18,5944.991113421131,4.0,3.2,0.6,48
19,5655.834818132881,5.0,4.0,0.75,48
20,6552.03810657006,3.0,2.4,0.44999999999999996,48
21,6239.598472693568,4.0,3.2,0.6,48
22,5597.618170900502,4.0,3.2,0.6,48
23,5512.561696537001,5.0,4.0,0.75,48
24,5601.045043535796,5.0,4.0,0.75,48
25,6369.200087909983,5.0,4.0,0.75,48
26,5592.989841691217,3.0,2.4,0.44999999999999996,48
27,5723.339908034814,4.0,3.2,0.6,48
28,6093.700498796458,5.0,4.0,0.75,48
29,5918.917681980959,4.0,3.2,0.6,48
30,5382.028330227192,3.0,2.4,0.44999999999999996,48
31,5474.985231509264,5.0,4.0,0.75,48
32,5597.168065145869,5.0,4.0,0.75,48
33,5780.456189560576,3.0,2.4,0.44999999999999996,48
34,5758.589506615268,4.0,3.2,0.6,48
35,6123.970679436408,3.0,2.4,0.44999999999999996,48
36,5975.422342741781,5.0,4.0,0.75,48
37,5719.301414634571,5.0,4.0,0.75,48
38,6113.240674813087,3.0,2.4,0.44999999999999996,48
39,6599.229525161504,4.0,3.2,0.6,48
40,5859.014673625054,5.0,4.0,0.75,48
41,5968.414182063784,5.0,4.0,0.75,48
42,6262.245391017043,4.0,3.2,0.6,48
43,5810.732643955222,4.0,3.2,0.6,48
44,5943.142411439081,5.0,4.0,0.75,48
45,6132.942365840028,3.0,2.4,0.44999999999999996,48
46,5868.952657209389,3.0,2.4,0.44999999999999996,48
47,6041.2343314358795,4.0,3.2,0.6,48
48,6820.557700527197,3.0,2.4,0.44999999999999996,48
49,6059.54416631971,2.0,1.6,0.3,48
50,5352.23352117131,3.0,2.4,0.44999999999999996,48
51,5131.6536820810525,5.0,4.0,0.75,48
52,5934.441149553249,3.0,2.4,0.44999999999999996,48
53,5455.5998304186405,3.0,2.4,0.44999999999999996,48
54,5502.468578508059,5.0,4.0,0.75,48
55,5634.2378406681655,5.0,4.0,0.75,48
56,5829.362853834358,5.0,4.0,0.75,48
57,6636.321445158303,3.0,2.4,0.44999999999999996,48
58,5487.106625946084,3.0,2.4,0.44999999999999996,48
59,5452.040327331842,4.0,3.2,0.6,48
60,5605.543641985751,4.0,3.2,0.6,48
61,5621.82111540272,4.0,3.2,0.6,48
62,5712.17796388339,2.0,1.6,0.3,48
63,6036.872808015011,4.0,3.2,0.6,48
64,5634.716830981604,5.0,4.0,0.75,48
65,5620.7467345627365,5.0,4.0,0.75,48
66,5662.958268884065,4.0,3.2,0.6,48
67,5782.491206052764,4.0,3.2,0.6,48
68,5842.853959939787,5.0,4.0,0.75,48
69,5690.898461721798,5.0,4.0,0.75,48
70,5921.862909277492,3.0,2.4,0.44999999999999996,48
71,5560.982270894435,3.0,2.4,0.44999999999999996,48
72,5909.147593972644,5.0,4.0,0.75,48
73,6148.490273393544,3.0,2.4,0.44999999999999996,48
74,5578.6749302958215,4.0,3.2,0.6,48
75,5306.166793415959,4.0,3.2,0.6,48
76,5985.030915739781,5.0,4.0,0.75,48
77,5643.09506284681,4.0,3.2,0.6,48
78,5386.0668236274305,5.0,4.0,0.75,48
79,5199.212096523016,5.0,4.0,0.75,48
80,5565.981399946877,5.0,4.0,0.75,48
81,5326.778450580392,5.0,4.0,0.75,48
82,5944.049722551253,4.0,3.2,0.6,48
83,5416.790728751385,4.0,3.2,0.6,48
84,6585.871409026182,3.0,2.4,0.44999999999999996,48
85,5710.6001527487415,5.0,4.0,0.75,48
86,6333.338509045983,3.0,2.4,0.44999999999999996,48
87,5663.141568850279,6.0,4.8,0.8999999999999999,48
88,5930.079626132384,4.0,3.2,0.6,48
89,5911.15781096501,4.0,3.2,0.6,48
90,5643.095062846808,5.0,4.0,0.75,48
91,5356.4117446259625,4.0,3.2,0.6,48
92,5629.469781404472,3.0,2.4,0.44999999999999996,48
93,4937.68260382836,5.0,4.0,0.75,48
94,5479.501529856137,4.0,3.2,0.6,48
95,5657.549704296617,5.0,4.0,0.75,48
96,5328.493336744128,5.0,4.0,0.75,48
97,5635.039861002232,4.0,3.2,0.6,48
98,5121.883594072737,3.0,2.4,0.44999999999999996,48
99,5741.8330428848585,3.0,2.4,0.44999999999999996,48
100,6242.382184979788,2.0,1.6,0.3,48
101,5906.177926694889,4.0,3.2,0.6,48
102,5239.87025969092,5.0,4.0,0.75,48
103,5415.398872608275,4.0,3.2,0.6,48
104,5689.829635599316,3.0,2.4,0.44999999999999996,48
105,5468.958306072564,2.0,1.6,0.3,48
106,5357.051890431114,6.0,4.8,0.8999999999999999,48
107,5950.715967944896,5.0,4.0,0.75,48
108,5357.507910421845,2.0,1.6,0.3,48
109,5370.220326034514,4.0,3.2,0.6,48
